FI|SCH|ID|AU|FAU|AF1|AF2|AF3|CI|PAF|CN|AUID
LIL|rhs|lil-39|Viacava, Francisco||||||||
LIL|rhs|lil-39|Gadelha, Maria Fernanda||||||||
LIL|rhs|lil-144|Herrera Lasso, Fernando||||||||
LIL|rhs|lil-144|Mendoza Flores, Julián||||||||
LIL|rhs|lil-144|Soberón Acevedo, Guillermo||||||||
LIL|rhs|lil-152|Macedo, Carlyle Guerra de||||||||
LIL|rhs|lil-154|Rivero Serrano, Octavio||||||||
LIL|rhs|lil-157|Luna Hernández, Nestor Raúl||||||||
LIL|rhs|lil-157|Malacara Hernández, Juan Manuel||||||||
LIL|rhs|lil-159|Bojalil Jaber, Luis F||||||||
LIL|rhs|lil-162|Jara del Río, Sergio||||||||
LIL|rhs|lil-163|Herrero Ricaño, Rodolfo||||||||
LIL|rhs|lil-164|Zimbrón Levy, Antonio||||||||
LIL|rhs|lil-166|Flores Aréchiga, Amador||||||||
LIL|rhs|lil-169|Cano Valle, Fernando||||||||
LIL|rhs|biblio-396|Brito, Pâmella Padilha||Escola Superior de Ciências da Saúde do Distrito Federal|||Brasília|BR||
LIL|rhs|biblio-396|Costa, Marisa Pacini||Escola Superior de Ciências da Saúde do Distrito Federal|||Brasília|BR||
LIL|rhs|biblio-396|Athanázio, Elisandro Moura||||||||
LIL|rhs|lil-459|Soberón Acevedo, Guillermo||||||||
LIL|rhs|lil-459|Herrera Lasso, Fernando||||||||
LIL|rhs|lil-459|Nájera, Rosa María||||||||
LIL|rhs|biblio-593|Prudente, Jaçany Aparecida Borges||Hospital Universitário da Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-593|Salum, Nádia Chiodelli||Hospital Universitário da Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-593|Schier, Jordelina||Hospital Universitário da Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-593|Gelbcke, Lima||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-593|Lorenzetti, Jorge||Universidade Federal de Santa Catarina|||Florianópolis|BR||
LIL|rhs|biblio-596|Lahm, Janaína Verônica||Pontifícia Universidade Católica do Paraná|||Toledo|BR||
LIL|rhs|biblio-596|Carvalho, Deborah Ribeiro||Pontifícia Universidade Católica do Paraná|||Curitiba|BR||
LIL|rhs|biblio-609|Medeiros, Adeli Regina Prizybicien de||Hospital de Clínicas da Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-609|Larocca, Liliana Müller||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-609|Chaves, Maria Marta Nolasco||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-609|Peres, Aida Maris||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-610|Crosewski, Nathalia Ingrid||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-610|Lemos, Débora de Sousa||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-610|Mauricio, Aline Batista||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-610|Roehrs, Hellen||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-610|Meier, Marineli Joaquim||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-614|Caveião, Cristiano||Faculdades Integradas do Brasil/Faculdade Pequeno Príncipe|||Curitiba|BR||
LIL|rhs|biblio-614|Zagonel,  Ivete Palmira Sanson||Faculdade Pequeno Príncipe|||Curitiba|BR||
LIL|rhs|biblio-614|Coelho, Izabel Cristina Meister||aculdade Pequeno Príncipe|||Curitiba|BR||
LIL|rhs|biblio-614|Peres, Aida Maris||Universidade Federal do Paraná|||Curitiba|BR||
LIL|rhs|biblio-614|Montezel, Juliana Helena||Universidade Estadual de Londrina|||Londrina|BR||
LIL|rhs|biblio-618|Carvalho, Karina Xavier||Instituto Hospitalar Nossa Senhora Aparecida|||Umuarama|BR||
LIL|rhs|biblio-618|Silva, Rosane Meire Munhak da||Universidade Estadual do Oeste do Paraná|||Foz do Iguaçu|BR||
LIL|rhs|biblio-618|Zilly, Adriana||Universidade Estadual do Oeste do Paraná|||Foz do Iguaçu|BR||
LIL|rhs|biblio-618|Carvalho, Fernanda Ferreira de||Universidade Estadual do Oeste do Paraná|||Foz do Iguaçu|BR||
LIL|rhs|biblio-618|Santos, Marieta Fernandes dos||Universidade Estadual do Oeste do Paraná|||Foz do Iguaçu|BR||
LIL|rhs|biblio-619|Garbaccio, Juliana Ladeira||Pontifícia Universidade Católica de Minas Gerais|||Belo Horizonte|BR||
LIL|rhs|biblio-619|Regis, Wiliam César Bento||Pontifícia Universidade Católica de Minas Gerai|||Belo Horizonte|BR||
LIL|rhs|biblio-619|Silva, Rogério Magalhães Coimbra||s.af|||Divinópolis|BR||
LIL|rhs|biblio-619|Estevão, Wilson Goulart||Pontifícia Universidade Católica de Minas Gerais|||Arcos|BR||
LIL|rhs|biblio-621|Cavalcanti, Maria Isabel da Conceição Dias Fernandes||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-621|Silva, Priscila Kaline de Andrade||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-621|Dantas, Anna Lívia de Medeiros||Universidade Federal do Rio Grande do Norte|||Natal|BR||
LIL|rhs|biblio-621|Paiva, Maria das Graças Mariano Nunes de||Universidade Federal do Rio Grande do Norte|||Natal|BR||
